,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
555,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3203-condominio-villalegre-santiago-de-surco-lima-lima-la-venturosa,Condominio Villalegre,-12.1641991,-76.9895228,Esquina Jiron Dextre con Calle Daniel Mendoza (A 1 cuadra del Parque Villa Alegre),Santiago De Surco,En planos,"31 de Mayo, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Sala de usos Múltiples', 'Video vigilancia', 'Otros']",flat,TIPO - 2A,Pisos: Entre 2 al 10,2,74.37 m2,"S/ 332,962"
4676,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2361-paseo-de-la-arboleda-4-santiago-de-surco-lima-lima-v&v-grupo-inmobiliario,PASEO DE LA ARBOLEDA 4,-12.14157370047621,-77.01076472165404,jr combate de angamos 542,Santiago De Surco,En construcción,"31 de Diciembre, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,L-Tipo 4,"Pisos: 1, 4, 5, 6, 13",2,74.00 m2,"S/ 433,000"
4663,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2361-paseo-de-la-arboleda-4-santiago-de-surco-lima-lima-v&v-grupo-inmobiliario,PASEO DE LA ARBOLEDA 4,-12.14157370047621,-77.01076472165404,jr combate de angamos 542,Santiago De Surco,En construcción,"31 de Diciembre, 2024",Financiamiento Propio,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas']",flat,K-Tipo 4,Pisos: Entre 1 al 13,2,74.00 m2,"S/ 410,000"
4063,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2393-lombardia-lince-lima-lima-toratto-grupo-inmobiliario,LOMBARDIA,-12.0813968,-77.03940030000001,Jr. Manuel Gómez N° 390,Lince,En construcción,"31 de Diciembre, 2024",BBVA,"['Área de juegos para niños', 'Lobby', 'Otros']",flat,TIPO B',Pisos: Entre 3 al 11,1,44.89 m2,"S/ 337,048"
4773,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2819-aliaga-750-magdalena-del-mar-lima-lima-v&v-grupo-inmobiliario,ALIAGA 750,-12.0907667,-77.0577393,juan de aliaga 750,Magdalena Del Mar,En planos,"31 de Julio, 2026",Financiamiento Propio,"['Gimnasio', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de cine', 'Zona de Lavandería', 'Zona de Parrillas']",flat,206,Piso: 2,2,70.15 m2,"S/ 537,000"
5283,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3258-albamar-oasis-surquillo-lima-lima-albamar-grupo-inmobiliario,Albamar | Oasis,-12.1025042,-77.0217445,"Av. Andres Aramburú 866, Surquillo",Surquillo,En planos,"31 de Agosto, 2026",Banco BCP,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Jardin de niños', 'Jardin interior', 'Lobby', 'Parque privado', 'Sala Bar', 'Sala de cine', 'Sala de Niños', 'Sala de usos Múltiples', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",duplex,Tipo 6B,Piso: 22,3,150.36 m2,"S/ 951,100"
2164,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2411-terrazas-de-bellavista-bellavista-callao-callao-nadlan,TERRAZAS DE BELLAVISTA,-12.0626033,-77.1280969,JR. GRAU 459 BELLAVISTA,Bellavista,Entrega inmediata,"28 de Diciembre, 2023",Banco BANBIF,"['Área de juegos para niños', 'Areas verdes', 'Gimnasio', 'Lobby', 'Piscina', 'Sala de cine', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,TIPO2,Pisos: Entre 1 al 11,3,64.34 m2,"S/ 299,000"
2350,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3381-novo-3-cercado-de-lima-lima-lima-my-home,NOVO 3,-12.0732836,-77.03092219999999,jirón José Gálvez 950,Cercado de lima,En planos,"15 de Diciembre, 2026",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 1 C,Piso: 23,1,37.00 m2,"S/ 275,000"
265,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3372-residencial-lobo-san-borja-lima-lima-grupo-dicon,RESIDENCIAL LOBO,-12.106591,-76.9846506,Jr Hrno Lobo N°511 Esquina con Av Velasco Astete,San Borja,En planos,"31 de Diciembre, 2025",Banco Scotiabank,"['Areas verdes', 'Lobby', 'Otros']",flat,TIPO 9,Piso: 2,4,120.48 m2,"$ 263,128"
5062,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2730-emerald-pueblo-libre-2-pueblo-libre-lima-lima-fai-inmobiliaria,Emerald Pueblo Libre 2,-12.076693493713218,-77.0567324978256,Calle Jose Ugarteche 103 Pueblo Libre,Pueblo Libre,En construcción,"31 de Octubre, 2025",Banco BCP,"['Jardin de niños', 'Lobby', 'Sala Bar', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas', 'Otros']",flat,X5,"Pisos: 6, 7, 8, 9",3,69.55 m2,"S/ 470,519"
